Table S1.1 Energy levels for the 16O16O X^3\Sigma state v = 0 - 39
     (relative to 16O16O X^3\Sigma state v = 0, N = 1, J = 0)     
==================================================================
    v    N    J    K  Energy(cm-1)    Unc.(cm-1)    Degeneracy
    2   43   42    0   5731.769166      0.000840            85
    2   43   43    0   5733.409435      0.000840            87
    2   43   44    0   5731.044223      0.000840            89
    2   45   44    0   5978.663666      0.000975            89
    2   45   45    0   5980.286938      0.000976            91
    2   45   46    0   5977.904048      0.000976            93
    2   47   46    0   6236.326331      0.001134            93
    2   47   47    0   6237.932640      0.001134            95
    2   47   48    0   6235.532070      0.001135            97
    2   49   48    0   6504.714014      0.001322            97
    2   49   49    0   6506.303391      0.001322            99
    2   49   50    0   6503.885135      0.001322           101
    2   51   50    0   6783.781721      0.001544           101
    2   51   51    0   6785.354194      0.001544           103
    2   51   52    0   6782.918242      0.001544           105
    2   53   52    0   7073.482606      0.001810           105
    2   53   53    0   7075.038199      0.001810           107
    2   53   54    0   7072.584540      0.001810           109
    2   55   54    0   7373.767974      0.002131           109
    2   55   55    0   7375.306710      0.002131           111
    2   55   56    0   7372.835329      0.002131           113
    2   57   56    0   7684.587282      0.002521           113
    2   57   57    0   7686.109182      0.002522           115
    2   57   58    0   7683.620064      0.002522           117
    2   59   58    0   8005.888142      0.002997           117
    2   59   59    0   8007.393225      0.002997           119
    2   59   60    0   8004.886352      0.002997           121
    2   61   60    0   8337.616317      0.003577           121
    2   61   61    0   8339.104600      0.003577           123
    2   61   62    0   8336.579951      0.003577           125
    2   63   62    0   8679.715726      0.004283           125
    2   63   63    0   8681.187226      0.004283           127
    2   63   64    0   8678.644780      0.004283           129
    2   65   64    0   9032.128443      0.005139           129
    2   65   65    0   9033.583175      0.005140           131
    3    1    0    0   4598.670891      0.000696             1
    3    1    1    0   4602.660830      0.000691             3
    3    1    2    0   4600.758824      0.000691             5
    3    3    2    0   4614.476452      0.000683             5
    3    3    3    0   4616.564402      0.000683             7
    3    3    4    0   4614.594283      0.000683             9
    3    5    4    0   4639.568517      0.000669             9
    3    5    5    0   4641.588394      0.000669            11
    3    5    6    0   4639.581796      0.000669            13
    3    7    6    0   4675.745163      0.000650            13
    3    7    7    0   4677.728626      0.000650            15
    3    7    8    0   4675.694725      0.000650            17
    3    9    8    0   4723.022813      0.000628            17
    3    9    9    0   4724.979061      0.000629            19
    3    9   10    0   4722.921765      0.000628            21
    3   11   10    0   4781.398837      0.000607            21
    3   11   11    0   4783.331802      0.000607            23
    3   11   12    0   4781.253134      0.000607            25
    3   13   12    0   4850.865371      0.000588            25
    3   13   13    0   4852.777099      0.000589            27
    3   13   14    0   4850.678238      0.000589            29
    3   15   14    0   4931.411649      0.000576            29
    3   15   15    0   4933.303342      0.000577            31
    3   15   16    0   4931.185031      0.000576            33
    3   17   16    0   5023.024639      0.000574            33
    3   17   17    0   5024.897065      0.000574            35
    3   17   18    0   5022.759802      0.000574            37
    3   19   18    0   5125.689265      0.000584            37
    3   19   19    0   5127.542946      0.000584            39
    3   19   20    0   5125.387077      0.000584            41
    3   21   20    0   5239.388501      0.000607            41
    3   21   21    0   5241.223805      0.000608            43
    3   21   22    0   5239.049581      0.000607            45
    3   23   22    0   5364.103407      0.000645            45
    3   23   23    0   5365.920610      0.000646            47
    3   23   24    0   5363.728214      0.000645            49
    3   25   24    0   5499.813161      0.000698            49
    3   25   25    0   5501.612469      0.000698            51
    3   25   26    0   5499.402040      0.000698            53
    3   27   26    0   5646.495064      0.000765            53
    3   27   27    0   5648.276640      0.000766            55
    3   27   28    0   5646.048283      0.000765            57
    3   29   28    0   5804.124550      0.000848            57
    3   29   29    0   5805.888524      0.000849            59
    3   29   30    0   5803.642319      0.000848            61
    3   31   30    0   5972.675191      0.000949            61
    3   31   31    0   5974.421668      0.000949            63
    3   31   32    0   5972.157678      0.000949            65
    3   33   32    0   6152.118702      0.001069            65
    3   33   33    0   6153.847768      0.001070            67
    3   33   34    0   6151.566040      0.001069            69
    3   35   34    0   6342.424939      0.001214            69
    3   35   35    0   6344.136666      0.001215            71
    3   35   36    0   6341.837236      0.001214            73
    3   37   36    0   6543.561904      0.001388            73
    3   37   37    0   6545.256352      0.001388            75
    3   37   38    0   6542.939248      0.001388            77
    3   39   38    0   6755.495746      0.001595            77
    3   39   39    0   6757.172968      0.001595            79
    3   39   40    0   6754.838209      0.001595            81
    3   41   40    0   6978.190762      0.001841            81
    3   41   41    0   6979.850802      0.001841            83
    3   41   42    0   6977.498401      0.001841            85
    3   43   42    0   7211.609398      0.002130            85
    3   43   43    0   7213.252296      0.002130            87
    3   43   44    0   7210.882262      0.002130            89
    3   45   44    0   7455.712253      0.002468            89
    3   45   45    0   7457.338042      0.002468            91
    3   45   46    0   7454.950378      0.002468            93
    3   47   46    0   7710.458074      0.002861            93
    3   47   47    0   7712.066783      0.002861            95
    3   47   48    0   7709.661490      0.002861            97
    3   49   48    0   7975.803764      0.003315            97
    3   49   49    0   7977.395420      0.003315            99
    3   49   50    0   7974.972495      0.003315           101
    3   51   50    0   8251.704377      0.003837           101
    3   51   51    0   8253.279004      0.003837           103
    3   51   52    0   8250.838440      0.003837           105
    3   53   52    0   8538.113126      0.004435           105
    3   53   53    0   8539.670743      0.004434           107
    3   53   54    0   8537.212533      0.004435           109
    3   55   54    0   8834.981377      0.005119           109
    3   55   55    0   8836.522004      0.005118           111
    3   55   56    0   8834.046136      0.005119           113
    3   57   56    0   9142.258655      0.005902           113
    3   57   57    0   9143.782308      0.005901           115
    3   57   58    0   9141.288770      0.005902           117
    3   59   58    0   9459.892643      0.006798           117
    3   59   59    0   9461.399338      0.006798           119
    3   59   60    0   9458.888114      0.006798           121
    3   61   60    0   9787.829185      0.007827           121
    3   61   61    0   9789.318935      0.007827           123
    3   61   62    0   9786.790009      0.007827           125
    3   63   62    0  10126.012287      0.009010           125
    3   63   63    0  10127.485103      0.009010           127
    3   63   64    0  10124.938457      0.009010           129
    3   65   64    0  10474.384114      0.010373           129
    3   65   65    0  10475.840009      0.010373           131
    4    1    0    0   6084.982417      0.001513             1
    4    1    1    0   6088.979533      0.001495             3
    4    1    2    0   6087.070263      0.001496             5
    4    3    2    0   6100.638684      0.001484             5
    4    3    3    0   6102.726539      0.001485             7
    4    3    4    0   6100.750753      0.001485             9
    4    5    4    0   6125.447356      0.001467             9
    4    5    5    0   6127.468714      0.001468            11
